date,none,p1_cod,p1_trophies,p1_crowns,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_7,p1_8,p2_cod,p2_trophies,p2_crowns,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_7,p2_8
20231006T000002.000Z,72000006,L0C002VR,8313,1,26000064,27000010,26000043,28000006,26000011,26000015,28000002,26000018,2G8G9YJ2U,8220,0,28000001,27000007,26000064,26000047,26000030,26000031,26000002,26000058
20231006T000002.000Z,72000006,PPYRUPGP,8735,0,26000064,26000042,26000051,26000020,26000033,26000025,26000049,28000001,2GQ0JJRJV,8784,1,26000064,28000011,28000014,26000030,26000021,26000011,26000002,27000004
20231006T000002.000Z,72000006,RG82J9PL,8500,1,26000049,26000030,26000021,27000000,26000010,26000014,28000011,26000032,8LRYGQYP,8535,2,26000047,26000064,26000002,26000019,26000065,26000056,26000058,28000001
20231006T000002.000Z,72000006,YRGLU2LLP,8000,1,26000000,26000060,26000033,26000018,28000001,26000039,28000008,28000002,2CR9YPPGV,8060,2,26000064,26000010,26000030,26000021,26000011,28000011,28000014,27000006
20231006T000002.000Z,72000291,9J88P0PU,7094,0,26000087,26000035,26000040,26000036,26000052,28000015,26000065,26000044,2QRJY8UUG,9000,1,26000000,27000008,28000011,26000030,27000006,26000001,26000010,28000000
20231006T000002.000Z,72000291,V2QUQ9CQ0,6219,1,26000000,26000021,26000002,26000084,26000064,28000014,27000006,28000011,L8089PLUJ,8238,0,26000064,26000077,27000006,26000051,26000030,26000010,28000011,28000006
20231006T000002.000Z,72000323,2VQGC8QGJ,30,1,26000003,26000033,28000004,28000012,26000041,26000014,28000001,28000008,2U2YVYV2Q,0,0,26000010,26000026,26000084,28000003,26000021,28000011,26000000,27000006
20231006T000002.000Z,72000323,8PVJ980RJ,0,0,26000010,26000030,28000018,27000000,28000011,26000021,28000014,26000072,29L8V92CP,30,1,26000064,28000001,26000046,26000055,27000013,26000043,28000006,26000017
20231006T000002.000Z,72000323,CQLVV8GLU,0,0,26000000,26000006,27000000,28000002,28000011,26000011,26000001,26000064,9LR8YRC0,30,1,26000008,26000023,26000080,27000004,26000065,28000010,28000001,28000005
20231006T000002.000Z,72000323,GCGQ2JRLG,30,1,26000049,26000060,26000016,26000027,28000000,26000041,28000001,26000019,28R8CYYU,0,0,26000064,26000041,26000018,28000010,28000001,26000042,26000020,28000011
20231006T000002.000Z,72000323,LJQJURYJ9,30,2,26000059,28000011,28000006,26000041,28000000,26000038,26000018,26000026,8JRGYY8RQ,0,1,26000017,26000006,26000016,27000003,26000012,28000005,28000002,26000015
20231006T000002.000Z,72000323,P8R92PVC,30,1,26000064,28000000,26000084,26000021,26000010,26000004,28000008,27000003,8RQUJCLL,0,0,26000064,27000010,26000055,28000001,26000010,26000049,26000021,26000016
20231006T000002.000Z,72000323,PCLCJRPR,0,1,26000049,26000041,26000064,26000006,28000002,26000037,28000006,26000055,2CGLLVL8L,30,3,26000050,26000035,26000026,26000046,28000011,26000018,28000008,26000016
20231006T000002.000Z,72000323,PQ92RQJV2,0,0,26000021,26000038,28000011,27000000,26000031,28000014,26000014,26000010,298JGPCL,30,1,26000055,26000056,26000037,26000007,26000041,28000004,28000001,26000000
20231006T000002.000Z,72000323,V08GCY988,0,0,26000010,26000046,26000036,26000014,28000006,26000004,26000084,28000008,PJC0VRUV,30,1,26000064,26000016,26000083,26000018,26000059,26000055,26000062,28000012
